date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells,clipped_price_scenario_cells
2025-04-20,0,Sall,0.0,36604.691542826826,42338.63122985526,37755.23354804215,5183.777838424534,5183.777838424534,0,22,0
2025-04-20,6,Sall,687.9494374328419,23997.261402139153,28198.80502021166,24848.24688774596,9808.20478510617,5183.777838424534,0,13,0
2025-04-20,12,Sall,627.0534769956294,23465.935954562436,28087.562175465046,24406.62135550825,6500.505537005565,5183.777838424534,0,10,0
2025-04-20,18,Sall,1.9610979506978765e-12,13470.863981422352,15135.657742020021,13805.131764717411,10756.078593058224,5183.777838424534,0,12,0
2025-04-21,0,Sall,0.0,38284.22005079791,45212.22027896724,39673.548615631626,5183.777838424536,5183.777838424536,0,10,0
2025-04-21,6,Sall,5840.05588931218,22754.594947615373,25626.902200078744,23335.608561765555,9470.064216674467,5183.777838424536,0,0,0
2025-04-21,12,Sall,1301.139885246347,22714.264681665594,27515.50197353177,23676.32333523628,6415.985354027474,5183.777838424536,0,0,0
2025-04-21,18,Sall,4.424735042965267,13908.983881891947,15485.98986200904,14229.734610553523,10800.0,5183.777838424536,0,0,0
2025-04-22,0,Sall,0.0,34783.152918727035,36711.533512959715,35172.76656394802,5176.188747556317,5176.188747556317,0,18,0
2025-04-22,6,Sall,1451.6416197011981,25011.80947072782,30801.707053860646,26182.67514343905,9985.938805304424,5176.188747556317,0,7,0
2025-04-22,12,Sall,1109.592869127094,22140.310526147412,25467.181623877506,22807.470681711064,6990.294988029637,5176.188747556317,0,0,0
2025-04-22,18,Sall,20.56545691271833,13454.299970011516,14923.189825079064,13749.388625937288,10800.000000000002,5176.188747556317,0,3,0
2025-04-23,0,Sall,0.0,33308.607471823496,37912.61657667893,34233.18116928423,5176.188747556318,5176.188747556318,0,13,0
2025-04-23,6,Sall,2817.7396288956215,25118.04062620942,27609.142701788278,25632.898417620283,8881.44345454976,5176.188747556318,0,15,0
2025-04-23,12,Sall,885.9869786241128,22098.781032745213,24639.623523741142,22608.773417448378,6210.902562581565,5176.188747556318,0,0,0
2025-04-23,18,Sall,22.36300967686384,13609.193426573835,14508.833763538458,13796.625434278401,10800.0,5176.188747556318,0,6,0
2025-04-24,0,Sall,0.0,35342.112177542615,36895.27765793926,35656.60786680654,5164.537254725854,5164.537254725854,0,6,0
2025-04-24,6,Sall,3087.639837636467,22362.921669663887,24829.7198426789,22859.143450750682,9308.058121889528,5164.537254725854,0,3,0
2025-04-24,12,Sall,1375.234758000674,22623.56218839502,25394.273787205588,23179.583055735628,5692.498363688295,5164.537254725854,0,10,0
2025-04-24,18,Sall,4.957175935042528,13677.793813328062,14704.505708878356,13884.446425279577,10780.70821369811,5164.537254725854,0,0,0
2025-04-25,0,Sall,0.0,14102.318232547877,15554.633071675817,14395.509179532479,5164.537254725854,5164.537254725854,0,19,0
2025-04-25,6,Sall,250.57640699390785,7948.455401874912,9211.582191179528,8203.564397198106,2442.951250122788,5164.537254725854,0,6,0
2025-04-25,12,Sall,293.5700065201612,7408.320618451954,7949.495996790564,7518.837878027757,2009.9558996565183,5164.537254725854,0,0,0
2025-04-25,18,Sall,67.06054853951935,6418.898369982136,7399.856141527353,6616.332149571807,10088.07560846455,5164.537254725854,0,0,0
2025-04-26,0,Sall,0.0,10760.005995211426,12637.668247476964,11138.395945226179,5164.537254725859,5164.537254725859,0,2,33
2025-04-26,6,Sall,0.0,6107.639360871562,7206.060454583028,6329.949837677249,2469.2792761333712,5164.537254725859,0,0,22
2025-04-26,12,Sall,58.07033122469781,6158.723668862059,6455.120373157259,6219.769821636876,7873.1773774831,5164.537254725859,0,3,4
2025-04-26,18,Sall,4.624456536661285,5173.3795410253215,5853.92033085558,5310.859527218116,10053.642095826892,5164.537254725859,0,2,0
2025-04-27,0,Sall,0.0,33486.746474405736,39215.15147260816,34636.02692850425,5164.5372547258585,5164.5372547258585,0,16,0
2025-04-27,6,Sall,1604.4872155980265,23371.088591478947,26067.847876862514,23932.616005242802,9357.97609787286,5164.5372547258585,0,22,0
2025-04-27,12,Sall,559.4296254759402,22923.613477502004,26615.594185863636,23666.729156206984,5014.020756090721,5164.5372547258585,0,3,0
2025-04-27,18,Sall,49.840058327995315,13074.790166041863,13973.635032870492,13255.868448091145,10800.0,5164.5372547258585,0,12,0
2025-04-28,0,Sall,0.0,42123.16730056663,48636.03126107335,43429.568773671046,5164.537254725859,5164.537254725859,0,16,0
2025-04-28,6,Sall,1584.5841823521675,28359.87572983733,33652.86413271524,29421.813995867484,10016.348393518927,5164.537254725859,0,8,0
2025-04-28,12,Sall,2255.8990909428417,23513.84904877125,25149.411205708195,23842.83980706511,6893.947652935811,5164.537254725859,0,2,0
2025-04-28,18,Sall,16.11363850455111,13870.256556217017,14596.622935788515,14016.838178300424,10800.0,5164.537254725859,0,0,0
2025-04-29,0,Sall,0.0,34975.354519070585,39492.07751430197,35882.20959109904,5164.537254725858,5164.537254725858,0,4,0
2025-04-29,6,Sall,2927.544489276602,23632.22162826881,26334.952470477318,24175.557413674764,9378.454595309717,5164.537254725858,0,12,0
2025-04-29,12,Sall,592.1629473202831,23308.69033631962,27188.664134010327,24086.488392879866,6549.566037117185,5164.537254725858,0,5,0
2025-04-29,18,Sall,55.04519264992064,13479.93280122381,14476.644050548864,13680.582370312852,10759.90913047451,5164.537254725858,0,17,0
2025-04-30,0,Sall,0.0,33864.65695930857,35143.321352876046,34123.71400182325,5164.537254725859,5164.537254725859,0,24,0
2025-04-30,6,Sall,435.3893729910314,22226.445359375157,23729.526463627615,22529.982378454566,7893.447383226077,5164.537254725859,0,0,0
2025-04-30,12,Sall,1340.5931450602557,21321.349410967567,22297.356060047743,21518.380923492423,6108.219557500753,5164.537254725859,0,0,0
2025-04-30,18,Sall,50.23233754120804,13379.437860773649,13810.879672084993,13467.03509756321,10800.000000000002,5164.537254725859,0,0,0
2025-05-01,0,Sall,0.0,35504.11625433968,37374.675173561685,35881.99349554552,5164.537254725861,5164.537254725861,0,20,0
2025-05-01,6,Sall,2236.0767046206183,23535.550859004506,24577.219292732214,23747.006809083363,9389.783172054316,5164.537254725861,0,14,0
2025-05-01,12,Sall,792.9314001108379,22386.74228443417,23557.029788009953,22622.758691514693,5186.036787056865,5164.537254725861,0,2,0
2025-05-01,18,Sall,5.6335395567794535,13587.076746265202,14091.287328244474,13689.225468216573,10797.552875,5164.537254725861,0,3,0
2025-05-02,0,Sall,0.0,12779.799990772834,13354.323030985237,12897.583411307649,5164.537254725862,5164.537254725862,0,73,26
2025-05-02,6,Sall,99.77730173956019,7846.860780689855,11005.716747465382,8481.149829660946,3357.8926321696504,5164.537254725862,0,37,57
2025-05-02,12,Sall,271.91030290756953,7551.672241622165,7990.6228205834,7641.311374408464,5933.334279910051,5164.537254725862,0,30,3
2025-05-02,18,Sall,15.66474818112232,6230.886935309816,8765.656808508627,6739.104398236892,10344.268309933645,5164.537254725862,0,24,0
2025-05-03,0,Sall,0.0,13951.10654160077,15479.331516834489,14259.551916631386,5164.537254725861,5164.537254725861,0,16,42
2025-05-03,6,Sall,233.42641076607606,8890.296863024727,10253.074729798222,9165.371446332514,3071.9065999009094,5164.537254725861,0,6,50
2025-05-03,12,Sall,213.08307928291194,8963.800217784246,10444.315062020301,9261.582223496536,7490.056021967759,5164.537254725861,0,2,17
2025-05-03,18,Sall,1180.5400948227434,6631.5296622313035,6975.823270638611,6701.724420310927,10794.081092592593,5164.537254725861,0,0,0
2025-05-04,0,Sall,0.0,37800.59703662003,41876.938261670286,38619.60721193269,5164.537254725863,5164.537254725863,0,9,0
2025-05-04,6,Sall,5519.256309225309,25370.931794922388,27473.26874332931,25794.090653311887,9432.68943687502,5164.537254725863,0,0,0
2025-05-04,12,Sall,3546.9539008935803,24160.526901444642,28728.96290499283,25094.029597918146,8155.872267419216,5164.537254725863,0,0,0
2025-05-04,18,Sall,185.58395610038843,15838.020113529867,20474.07783401838,16841.981386995205,10799.999999999998,5164.537254725863,0,0,0
2025-05-05,0,Sall,0.0,42723.60303863427,46734.129352205535,43529.58334267431,5022.610466996326,5022.610466996326,0,53,0
2025-05-05,6,Sall,1315.9355167787583,28398.743189177232,34741.8310429769,29682.85837716644,10025.012686930264,5022.610466996326,0,0,0
2025-05-05,12,Sall,2632.6590934034007,25435.962046205448,26930.88981836116,25736.568533147354,7824.615573014502,5022.610466996326,0,0,0
2025-05-05,18,Sall,83.7835900416909,16199.822290284565,19249.449211579664,16811.043890519846,10800.0,5022.610466996326,0,0,0
2025-05-06,0,Sall,0.0,36425.26256243643,38432.750038162805,36830.295369290434,5022.610466996328,5022.610466996328,0,6,0
2025-05-06,6,Sall,2419.291507150287,27424.29227941504,33507.15675820165,28652.972823890123,8312.473143820689,5022.610466996328,0,0,0
2025-05-06,12,Sall,2040.9803057414192,25715.474924385555,31380.45801697235,27174.60238129474,6498.767161637966,5022.610466996328,0,2,0
2025-05-06,18,Sall,397.14535575599325,16156.841307321747,19792.06270736511,16885.178258863634,10800.0,5022.610466996328,0,0,0
2025-05-07,0,Sall,0.0,41510.007768559415,44517.36409934066,42115.357195230485,5022.610466996328,5022.610466996328,0,27,0
2025-05-07,6,Sall,1298.73175107335,30080.656256064656,33839.20737473778,30835.491688717608,9332.644524663317,5022.610466996328,0,35,0
2025-05-07,12,Sall,475.2964689298113,26948.776227688115,30177.345001115016,27596.34919647421,6132.863375972553,5022.610466996328,0,6,0
2025-05-07,18,Sall,251.78717342220745,17056.593953856347,19455.489823303775,17537.66811500264,10799.999999999998,5022.610466996328,0,9,0
2025-05-08,0,Sall,0.0,41916.68791512349,46819.98285791699,42901.31882849006,5022.6104669963315,5022.6104669963315,0,1,0
2025-05-08,6,Sall,4610.8508034894085,29532.262484800183,37043.77123947441,31107.63717124272,10064.909261882709,5022.6104669963315,0,8,0
2025-05-08,12,Sall,1005.5862281924527,27385.904748958885,29704.059227028723,27851.339841977006,6874.223805973955,5022.6104669963315,0,0,0
2025-05-08,18,Sall,84.38315096932914,17608.486323713678,18927.97616868976,17873.680530814636,10799.999999999998,5022.6104669963315,0,0,0
2025-05-09,0,Sall,0.0,14000.447090802008,14772.617037118562,14157.731349503701,5022.6104669963315,5022.6104669963315,0,12,21
2025-05-09,6,Sall,815.7921798339714,10033.433866490466,14596.493994063982,10948.559148446482,2953.9475368654303,5022.6104669963315,0,10,18
2025-05-09,12,Sall,710.2454044671,9117.740536817932,10413.777729744897,9378.757099002232,6146.5680196219455,5022.6104669963315,0,3,8
2025-05-09,18,Sall,425.5621783412038,7846.396144879369,12019.931196079266,8682.39188961568,10800.000000000002,5022.6104669963315,0,3,0
2025-05-10,0,Sall,0.0,13439.042253872727,16355.430180647305,14025.01927533269,5022.610466996333,5022.610466996333,0,4,8
2025-05-10,6,Sall,624.2088268589018,8884.07292433053,12422.170561617184,9594.146660939074,3173.6024137384948,5022.610466996333,0,11,41
2025-05-10,12,Sall,407.44680231149755,8272.851835571566,9507.61856491161,8521.63151842424,6108.91287112484,5022.610466996333,0,3,17
2025-05-10,18,Sall,64.04354554311148,7133.008137783124,9728.849469328783,7653.462227977806,10707.014321942528,5022.610466996333,0,2,0
