date,scenario,interval,L_scen_kwh,G_scen_kwh
2025-07-15,3,108,884.7675385940267,192.92306163635473
2025-07-15,3,109,858.97950916413,152.9268136047657
2025-07-15,3,110,980.17189642828,117.51632721654204
2025-07-15,3,111,1028.2099042407272,83.61510967565027
2025-07-15,3,112,1030.429393999205,47.406282332835275
2025-07-15,3,113,983.4776062908018,14.614297153321797
2025-07-15,3,114,1019.5511636636706,0.0
2025-07-15,3,115,1021.414393298468,0.0
2025-07-15,3,116,921.2540360073137,0.0
2025-07-15,3,117,898.8453330648885,0.0
2025-07-15,3,118,927.4458118830206,0.0
2025-07-15,3,119,1005.640198018857,0.0
2025-07-15,3,120,1031.225240985223,0.0
2025-07-15,3,121,970.7459083457793,0.0
2025-07-15,3,122,964.2953663617661,0.0
2025-07-15,3,123,1001.2070484667013,0.0
2025-07-15,3,124,1031.9815253171669,0.0
2025-07-15,3,125,990.2807597257543,0.0
2025-07-15,3,126,913.1930606432161,0.0
2025-07-15,3,127,979.339776099896,0.0
2025-07-15,3,128,1013.3741160579036,0.0
2025-07-15,3,129,1008.1511493912371,0.0
2025-07-15,3,130,1036.1454118097836,0.0
2025-07-15,3,131,928.2902180749667,0.0
2025-07-15,3,132,800.0758355680659,0.0
2025-07-15,3,133,765.22065855223,0.0
2025-07-15,3,134,773.8468885374607,0.0
2025-07-15,3,135,762.8475380076884,0.0
2025-07-15,3,136,818.3785167047278,0.0
2025-07-15,3,137,822.7436700935681,0.0
2025-07-15,3,138,756.7829792390825,0.0
2025-07-15,3,139,807.671946945297,0.0
2025-07-15,3,140,794.464570698766,0.0
2025-07-15,3,141,713.8051877677469,0.0
2025-07-15,3,142,763.2546340676489,0.0
2025-07-15,3,143,827.0469167661437,0.0
2025-07-15,3,144,787.2718726798431,0.0
2025-07-15,4,1,735.6870470738563,0.0
2025-07-15,4,2,755.9249654013554,0.0
2025-07-15,4,3,773.0826492925006,0.0
2025-07-15,4,4,756.9446002752509,0.0
2025-07-15,4,5,767.2088438092771,0.0
2025-07-15,4,6,796.2600743336219,0.0
2025-07-15,4,7,810.8556817517326,0.0
2025-07-15,4,8,771.3174987087388,0.0
2025-07-15,4,9,759.3195212233784,0.0
2025-07-15,4,10,762.7058325077546,0.0
2025-07-15,4,11,756.9370419052865,0.0
2025-07-15,4,12,709.9517624203744,0.0
2025-07-15,4,13,730.0469787716429,0.0
2025-07-15,4,14,761.0205651189336,0.0
2025-07-15,4,15,718.3219189276771,0.0
2025-07-15,4,16,704.7626136894654,0.0
2025-07-15,4,17,736.197214195386,0.0
2025-07-15,4,18,789.892959254504,0.0
2025-07-15,4,19,707.3983615502248,0.0
2025-07-15,4,20,673.9030814989957,0.0
2025-07-15,4,21,715.5740972719778,0.0
2025-07-15,4,22,688.720664832329,0.0
2025-07-15,4,23,676.7209038068031,0.0
2025-07-15,4,24,704.8286532611481,0.0
2025-07-15,4,25,658.6886090315425,0.0
2025-07-15,4,26,677.0294621576941,0.0
2025-07-15,4,27,756.1314412321051,0.0
2025-07-15,4,28,725.9531294881377,0.0
2025-07-15,4,29,749.6678817856003,0.0
2025-07-15,4,30,779.2799735929179,0.0
2025-07-15,4,31,741.9184745981735,13.135562502423817
2025-07-15,4,32,690.3941847813908,41.98842244117996
2025-07-15,4,33,717.0266125087935,76.29394931470836
2025-07-15,4,34,712.4840974345968,111.79756714397666
2025-07-15,4,35,754.1670969491709,150.37398058087138
2025-07-15,4,36,850.7719662286743,191.52683878204013
2025-07-15,4,37,897.2691696499397,234.3332342919334
2025-07-15,4,38,844.6527591111901,269.4422369389959
2025-07-15,4,39,780.060960953946,303.4941072349107
2025-07-15,4,40,828.0903202628057,351.5414117839414
2025-07-15,4,41,858.1373348488362,405.74662355782846
2025-07-15,4,42,920.4263433024346,443.82459186827646
2025-07-15,4,43,831.2232562918828,496.014020708145
2025-07-15,4,44,878.8753515155029,532.7082567327919
2025-07-15,4,45,926.8072001534312,555.2373889608721
2025-07-15,4,46,859.73894666803,586.5902861518947
2025-07-15,4,47,869.6762775680581,651.0922850196545
2025-07-15,4,48,1166.4041738940152,693.4498075653421
2025-07-15,4,49,1187.7295507827469,740.4550942321512
2025-07-15,4,50,1152.7553510520647,802.4692712948679
2025-07-15,4,51,1167.2679609717457,822.1208054820869
2025-07-15,4,52,1169.7802354674875,841.9418514605168
2025-07-15,4,53,1210.682763051619,868.7372559821962
2025-07-15,4,54,1226.4809823090552,890.5521726571602
2025-07-15,4,55,1225.7000526021723,931.6207575656847
2025-07-15,4,56,1154.6459895784847,945.1239468434438
2025-07-15,4,57,1102.2275206202723,978.2591714337552
2025-07-15,4,58,1184.984859648676,1047.7350157719075
2025-07-15,4,59,1246.3183256218272,1090.2664216615408
2025-07-15,4,60,1190.0336033350666,1095.1328539017306
2025-07-15,4,61,1197.160682526159,1116.935609453023
2025-07-15,4,62,1195.253729809025,1123.7271107758727
2025-07-15,4,63,1163.152339380628,1161.1321547611353
2025-07-15,4,64,1128.4093450031073,1162.7979896293086
2025-07-15,4,65,1156.8973739327557,1134.5418828310192
2025-07-15,4,66,1203.716389465054,1114.9377586853432
2025-07-15,4,67,1211.9084467641217,1174.7162123598982
2025-07-15,4,68,1201.8605291317335,1227.8190173304554
2025-07-15,4,69,1202.762580610369,1231.1216437527191
2025-07-15,4,70,1155.7272088356492,1228.829129868721
2025-07-15,4,71,1105.143636101835,1219.9500210591737
2025-07-15,4,72,1098.4477866603563,1220.196948520832
2025-07-15,4,73,1138.5330821961747,1211.9517604937191
2025-07-15,4,74,1151.5892774890617,1198.1974608002668
2025-07-15,4,75,1103.068426945494,1144.8693074299538
2025-07-15,4,76,1131.6120251616023,1082.3740858977071
2025-07-15,4,77,1145.6399216664977,1105.0396091565722
2025-07-15,4,78,1201.3632727054026,1141.55394605296
2025-07-15,4,79,1199.2330293147993,1158.448204660495
2025-07-15,4,80,1204.4823411263285,1157.5738768572967
2025-07-15,4,81,1219.7549276682978,1259.6688487113283
2025-07-15,4,82,1225.8943841619796,1316.0530458653786
2025-07-15,4,83,1185.5478536986245,1244.878049603215
2025-07-15,4,84,1144.106075919677,1162.210124760337
2025-07-15,4,85,1177.353154856929,1132.9685528726159
2025-07-15,4,86,1185.3223390089117,1145.0217132752457
2025-07-15,4,87,1155.493100630558,1091.1600266162395
2025-07-15,4,88,1170.1643271716857,1051.7046966223734
2025-07-15,4,89,1217.5759675028899,1001.3774418880558
2025-07-15,4,90,1237.2445663643036,958.1717484721942
2025-07-15,4,91,1227.3993455211723,933.5826663634389
2025-07-15,4,92,1203.749475249896,889.1666216856627
2025-07-15,4,93,1187.1857498254506,838.0527810256885
