day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,residual_blocks,emergency_kwh,load_kwh,curtail_kwh,unextracted_kwh,final_soc,settlement_method,primary_emergency_cost,secondary_status,emergency_cost_gap,cost_tolerance,dev_c,dev_r
205,2025-07-25,1745.1316619495328,28346.965513563817,31620.79146485141,27073.330614301733,252.59930006623503,27325.929914367967,0.0008774467933814,0.0979983245593796,0.1749428855961342,0,30,81.0364579333993,92354.83968333332,11519.905064330356,4398.126029531559,1947.1644433212275,causal_sequential_plan_bounded,252.59930006623503,0,0.0,0.0,991.2020217382506,1475.3216365970911
206,2025-07-26,1947.1644433212275,27833.29661754645,30952.064197915723,26611.091032523567,244.75290165824728,26855.843934181816,0.0011652016145182,0.0886320600223831,0.1508913547893005,0,30,108.58244676355044,93187.68993333331,9765.476987610946,3914.230049672804,1693.8574259981517,causal_sequential_plan_bounded,244.75290165824728,0,0.0,0.0,823.3054117821757,1111.3490669418964
207,2025-07-27,1693.8574259981517,55601.06314957995,59485.40590020222,53119.26065639868,4302.394504881379,57421.65516128005,0.0069702751963895,0.0763817515498772,0.0205048921561602,0,30,962.6660755222129,138110.19628333332,1321.0278101006777,6440.860671954715,1621.05029234288,causal_sequential_plan_bounded,4302.394504881379,0,0.0,0.0,1252.501484371312,1393.4714654493582
208,2025-07-28,1621.05029234288,58281.945290996126,64457.3117890157,56170.45719538532,3540.276928761057,59710.73412414637,0.0053369097304546,0.0760175022055217,0.0042350187204357,0,30,737.7156867698511,138228.99843333333,255.2620316398125,6724.794876000613,2050.213049802885,causal_sequential_plan_bounded,3540.276928761057,0,0.0,0.0,2548.805097916384,2829.7238741348674
209,2025-07-29,2050.213049802885,62105.86151111829,69293.4067168534,59216.58004446743,552.1068469848738,59768.68689145231,0.0006476505181324,0.1388447707285622,0.014394797898471,0,30,89.57961634016789,138314.74511666666,896.0113805936178,12862.314371122688,1473.396686951157,causal_sequential_plan_bounded,552.1068469848738,0,0.0,0.0,4722.287701528857,4071.110056494412
210,2025-07-30,1473.396686951157,58175.57754609198,64881.54481974548,55412.15953318025,1187.345071340295,56599.50460452055,0.0021377872931631,0.0915797962962347,0.0304799774587407,0,30,295.9218473497641,138424.36443333334,1960.505994605176,8042.560431362632,1863.6546855326133,causal_sequential_plan_bounded,1187.345071340295,0,0.0,0.0,2785.806595293506,2853.792559167084
211,2025-07-31,1863.6546855326133,59678.0110667789,67146.74102642226,57077.93008785037,745.253117494895,57823.18320534527,0.0012941008744433,0.1147201071466029,0.0167821074988305,0,30,177.83963044964207,137423.31371666666,1052.7133666666666,10262.922675140437,1860.9113096617136,causal_sequential_plan_bounded,745.253117494895,0,0.0,0.0,3124.147756872714,3125.37986176244
212,2025-08-01,1860.9113096617136,27098.19533509235,29406.2688099492,26036.871817633502,671.2348011928601,26708.106618826365,0.0030492371630105,0.0749005402664349,0.2406683165580098,0,30,282.7235136986554,92719.4241,17200.098754829713,3265.13594090793,1768.743564817766,causal_sequential_plan_bounded,671.2348011928601,0,0.0,0.0,2128.376348392097,2235.854050533589
213,2025-08-02,1768.743564817766,26963.04289986524,28996.667384599827,26002.66408216181,356.49567723028065,26359.159759392085,0.0010739012302344,0.0940254511327379,0.2249570370026249,0,30,98.32880670730523,91562.24421666667,15889.889638009345,4051.296195545944,1766.6417466104724,causal_sequential_plan_bounded,356.49567723028065,0,0.0,0.0,808.2711790816636,1164.6772270055733
214,2025-08-03,1766.6417466104724,52907.20513262392,57163.19021214493,50801.76548305493,1946.7737465532516,52748.53922960818,0.0029394673737715,0.1075105929104086,0.0866515163200535,0,30,405.8301735797096,138062.48614999998,6518.187546494408,8664.726276049112,1387.624496945704,causal_sequential_plan_bounded,1946.7737465532516,0,0.0,0.0,4180.161041805918,3554.7924911139235
215,2025-08-04,1387.624496945704,49067.79014019866,51219.60929063285,46939.578754195296,3697.812131843597,50637.39088603889,0.0073249828290298,0.0407257101983619,0.0481139712399639,0,30,1013.1338084556884,138312.10695,3507.3377886082144,3038.6122754035373,1624.2578643314755,causal_sequential_plan_bounded,3697.812131843597,0,0.0,0.0,1578.5860402064573,1660.4867704655585
216,2025-08-05,1624.2578643314755,50603.21707462616,55457.31698564598,48530.673598001245,748.1219388727918,49278.79553687404,0.0015250909576766,0.0649790350858667,0.0468204353232737,0,30,208.11162030495157,136458.49728333333,3338.586742334,4994.409491072463,1745.5386087955922,causal_sequential_plan_bounded,748.1219388727918,0,0.0,0.0,1446.1988676672438,1662.4058307265025
