date,cost_plan_R1,cost_plan_R2,diff,cost_emergency
2025-08-24,56746.65782473319,57024.43092934011,-277.7731046069166,1385.384010712169
2025-08-25,57166.67302100551,56621.30439246473,545.3686285407821,5715.82039796418
2025-08-26,62138.76800048866,63244.05129640604,-1105.283295917383,292.5334154627551
2025-08-27,56575.75292944187,56645.37773573365,-69.62480629178026,1835.991915434789
2025-08-28,59562.48652893768,59436.442916072294,126.04361286538915,9909.98645562238
2025-08-29,24528.851021295006,24715.20557088055,-186.35454958554328,892.0171656302784
2025-08-30,24167.823373367435,23903.842656991194,263.9807163762416,1463.8077405065956
2025-08-31,57480.00372664304,57945.05285656704,-465.04912992400205,1486.3870233100765
2025-09-01,51055.28696397289,56855.67948764142,-5800.392523668532,228.7760715308286
2025-09-02,39644.398607872216,40729.36931489856,-1084.9707070263466,8177.531179999585
2025-09-03,43338.44029866073,41680.68872562339,1657.7515730373416,2105.6811853485633
2025-09-04,43119.262784658036,43094.08392449972,25.178860158317548,2581.670592090519
2025-09-05,19856.129336234266,24256.1362903085,-4400.006954074233,0.0
2025-09-06,17119.939459511785,19439.044595562063,-2319.105136050279,2752.3453105301605
2025-09-07,41350.682818194444,31351.439559204322,9999.243258990122,4448.136396744632
2025-09-08,41096.05929417369,40350.56740936487,745.49188480882,16047.40381274408
2025-09-09,44202.15352145386,43253.681123715156,948.4723977387039,8346.083863449681
2025-09-10,44930.55209711443,44307.27642788716,623.2756692272669,7541.845002602304
2025-09-11,46930.33316598319,47153.819231518755,-223.486065535566,936.1577557187468
2025-09-12,15816.792803845648,19867.55960592851,-4050.7668020828605,1069.6030749437714
2025-09-13,16414.242594573996,15924.027204016125,490.2153905578707,722.900223461346
2025-09-14,46157.27227048848,33881.6279936837,12275.644276804778,2707.430561200742
2025-09-15,45945.17387150029,45484.73287543548,460.4409960648045,5149.895516636037
2025-09-16,45371.27319486309,44468.27893850143,902.9942563616569,4116.713358065495
2025-09-17,46111.19778673546,45480.217662113435,630.9801246220231,1762.0626170686828
2025-09-18,46109.45393910236,45863.76687781932,245.68706128303893,466.69539853644403
2025-09-19,16977.125937551948,21314.55092879349,-4337.4249912415435,471.04448858213254
2025-09-20,15955.692430974888,15931.616743702984,24.075687271904826,1097.2635967416727
2025-09-21,51241.53239002984,37538.03717822267,13703.495211807167,433.90945191808584
2025-09-22,47466.65890753203,45965.2192920574,1501.4396154746282,1535.7630527828376
2025-09-23,48746.58409281102,48790.20478566655,-43.62069285553298,1148.5477860153205
2025-09-24,47642.42308376623,47028.75056155207,613.6725222141613,1755.589647210527
2025-09-25,48996.21213978622,48687.42117453786,308.7909652483577,1170.0303673138906
2025-09-26,16262.92272298917,20879.795652594126,-4616.872929604957,358.6256492507905
2025-09-27,17110.76455667864,16645.09067718264,465.67387949600015,1365.433300526559
2025-09-28,49488.40312851385,49384.60754550593,103.79558300791541,1379.932531464589
2025-09-29,50608.90462864127,50101.50682097142,507.3978076698477,1010.3795893449458
2025-09-30,50429.841841137866,49732.97916994145,696.8626711964171,919.1009961945899
2025-10-01,48426.21378077101,49981.59635232584,-1555.38257155483,70.09168969648184
2025-10-02,44474.96314235445,43146.39568834074,1328.5674540137115,64.82568324612492
2025-10-03,30910.946393105238,39325.28773377587,-8414.341340670631,0.0
2025-10-04,14344.82270522264,14515.912747245642,-171.09004202300275,1282.5569993781412
2025-10-05,43190.89306755988,44081.63068336213,-890.7376158022453,338.92994140437446
2025-10-06,44072.207773984424,42154.205661889435,1918.0021120949896,263.31445927480814
2025-10-07,43718.346889465014,44408.17771976748,-689.8308303024678,1014.7518035983393
2025-10-08,44409.68361931621,43912.99736153115,496.6862577850625,821.9035554858614
2025-10-09,43584.25467066144,43153.80610283061,430.4485678308265,465.6441225609631
2025-10-10,13992.79822203545,18062.55394710965,-4069.7557250741993,478.7030101710353
2025-10-11,14048.87917613515,13551.228590452378,497.65058568277163,641.7375191267481
2025-10-12,42492.27616507093,43161.162066564415,-668.885901493486,2220.0718520828414
2025-10-13,44840.715322865515,45489.89819679842,-649.1828739329067,1133.3167275445255
2025-10-14,44135.421918076245,44334.40159204359,-198.97967396734748,2054.220912998225
2025-10-15,45558.79947345443,45218.17559857635,340.62387487808155,2475.858108520501
2025-10-16,45287.932022604786,44484.47148433434,803.4605382704467,4511.36168852645
2025-10-17,35747.37519468891,47003.669747781714,-11256.294553092805,0.0
2025-10-18,13685.786633408346,13831.255399594173,-145.4687661858261,1370.8695352797458
2025-10-19,46362.684777696304,45702.51446454916,660.170313147144,4390.599012728617
2025-10-20,47322.62666322459,47255.25095060732,67.37571261727135,2196.730372629933
2025-10-21,49297.16008250777,48407.96585007732,889.1942324304473,1355.6747634036165
2025-10-22,48807.413860196146,48671.99835805697,135.415502139178,3662.1973865840864
2025-10-23,49390.13180918227,49621.08947421303,-230.95766503076447,206.44187276681956
2025-10-24,37193.812156838205,49164.9167443638,-11971.104587525595,0.0
2025-10-25,14882.977711734202,14600.086989478796,282.8907222554062,853.7992481872709
2025-10-26,48964.08321952368,48393.83582234268,570.2473971810032,1559.5328720708915
2025-10-27,48734.45003760264,49001.34833755631,-266.89829995366745,1719.1547928760558
2025-10-28,48513.860206957004,47642.448247891705,871.411959065299,1944.022910209022
2025-10-29,49861.76837546952,48612.70189701553,1249.066478453984,5389.188609414836
2025-10-30,51806.18732316172,49852.859288222244,1953.3280349394772,1252.3075104431773
2025-10-31,15975.972407677193,20496.982800200705,-4521.010392523513,342.0539725190742
2025-11-01,15238.9026137852,15287.77959420345,-48.87698041825024,399.05112613818994
2025-11-02,52838.96776091988,51013.58963862399,1825.378122295886,1506.1101943074304
2025-11-03,53167.128794820135,51658.960626739055,1508.1681680810798,1228.5236644975844
2025-11-04,53184.76248620559,52943.82506589544,240.937420310147,935.928340156163
2025-11-05,53691.42336310749,52714.032331071525,977.3910320359646,699.7585128698092
2025-11-06,54288.575634335444,52937.320381672114,1351.2552526633299,3007.0783472929725
2025-11-07,15642.17069748727,20487.1573413984,-4844.98664391113,872.6623639814193
2025-11-08,15728.942069750034,15199.730299131326,529.2117706187073,401.18603054659076
2025-11-09,53916.78239987197,39726.27107220751,14190.511327664455,2208.7707092499786
2025-11-10,55057.8338443237,53896.66743577199,1161.1664085517114,3088.3964852323334
2025-11-11,55666.552257058094,55925.25108625791,-258.6988291998132,483.58604088789014
2025-11-12,55139.47118737198,54919.45261601871,220.0185713532701,1082.0382349255979
2025-11-13,56132.23698982059,55199.97177854506,932.265211275524,2175.2908285648255
2025-11-14,15581.58565864619,20289.5196540014,-4707.93399535521,553.5778700473887
2025-11-15,16151.20560443614,15699.801580969026,451.4040234671138,781.0901722602229
2025-11-16,57775.5036520299,56383.65416879808,1391.8494832318247,2215.9321359433493
2025-11-17,57225.9976612247,56834.06989414607,391.92776707862504,848.0125758343763
