date,i,n_pool,max_block_day,trunc_load,trunc_pv,trunc_price,mean_abs_dev_load,mean_abs_dev_pv,mean_abs_dev_price,cold_start
2025-07-04,184,30,182,0,305,0,5.445185124688796,4.258332465592428,0.010355898302095986,0
2025-07-05,185,30,184,0,270,50,8.10220085606386,9.84310148640084,0.02997425137921155,0
2025-07-06,186,30,185,0,395,86,10.723902247935191,12.350609689592783,0.05690710880770486,0
2025-07-07,187,30,185,0,656,0,5.475938417945271,6.177436548964394,0.033114278713154505,0
2025-07-08,188,30,187,0,58,0,6.690579091731973,8.839394345270641,0.00692619146976101,0
2025-07-09,189,30,188,0,541,1,6.056191695208141,6.558310193759198,0.020852614113481487,0
2025-07-10,190,30,189,0,300,0,5.612765162560826,5.73643544560688,0.01014362759610321,0
2025-07-11,191,30,190,0,304,1,6.998980139218052,7.343523487293266,0.013297028334923348,0
2025-07-12,192,30,190,0,484,15,5.051969190234887,4.354490758541108,0.01804087941571931,0
2025-07-13,193,30,190,0,392,0,7.910529661501834,7.725686033715353,0.013707147711382012,0
2025-07-14,194,30,193,0,777,2,6.101466311805591,7.877471776341634,0.03787751460544728,0
2025-07-15,195,30,194,0,640,0,5.693110427097453,4.985569690528049,0.016506890682376943,0
2025-07-16,196,30,195,0,449,0,8.133487329416646,8.427822767939375,0.013086287066008078,0
2025-07-17,197,30,196,0,323,0,5.946063661521077,9.17327559980064,0.01947720793387863,0
2025-07-18,198,30,197,0,362,0,5.9667152439404125,12.59164514916911,0.018644079738158084,0
2025-07-19,199,30,197,0,486,21,5.89165866240296,10.13493731653913,0.02451396884707921,0
2025-07-20,200,30,198,0,300,6,5.709730146652644,5.441575645096642,0.009256143845931566,0
2025-07-21,201,30,199,0,212,2,7.4990925937677275,5.399440550507072,0.01224487038981142,0
2025-07-22,202,30,201,0,368,6,5.716049482696188,3.7961936676733297,0.0120212751546886,0
2025-07-23,203,30,202,0,30,0,5.567323871157102,5.505580886111813,0.019075868714659303,0
2025-07-24,204,30,203,0,250,0,7.520633403959256,6.07785124171526,0.013487605351160191,0
2025-07-25,205,30,204,0,365,0,6.409337885288713,4.139549078093179,0.030140773983239475,0
2025-07-26,206,30,201,0,421,18,9.898928126613262,8.24335027193434,0.009821019539806318,0
2025-07-27,207,30,205,0,187,0,7.129310185314604,5.31883917496363,0.04483641307259459,0
2025-07-28,208,30,207,0,160,0,5.822539043085841,4.935405652485067,0.010084593206202478,0
2025-07-29,209,30,208,0,374,0,5.043806903172048,3.251632436910172,0.0291599617301823,0
2025-07-30,210,30,209,0,292,0,6.332487917609195,7.872751977616907,0.020397084986300332,0
2025-07-31,211,30,210,0,409,0,8.823739629812174,4.509921573204924,0.03310407905467276,0
2025-08-01,212,30,211,0,289,5,8.569151944945913,5.711110517325788,0.01081865680436269,0
2025-08-02,213,30,211,0,230,0,5.880909432132356,8.314464264677035,0.016325573956261434,0
2025-08-03,214,30,213,0,87,0,9.17106545180543,4.926012512377302,0.01372837222702381,0
2025-08-04,215,30,214,0,60,0,5.6382482539774985,7.293928570878582,0.012495056465002898,0
2025-08-05,216,30,214,0,199,0,7.103938081357391,4.667031980521473,0.018027801594991465,0
2025-08-06,217,30,216,0,351,0,9.577217380500725,6.685463257338121,0.040515314961895324,0
